Year,Season,AOD,CO,NO2,O3,LST
2018,Winter,-0.552629724,0.041627725,0.000119768,0.114478803,27.89036564
2018,Winter,-0.444213184,0.043675189,0.000218631,0.115182451,27.10080302
2018,Winter,-0.542834567,0.04175683,0.000138684,0.114730699,27.41184284
2018,Winter,-0.526196437,0.043294966,0.000233126,0.115376584,27.34690046
2018,Winter,-0.486019063,0.042333482,0.000176137,0.115023245,28.12962704
2018,Winter,-0.415882817,0.044459682,0.000318284,0.11527511,25.24481816
2018,Winter,-0.550449728,0.043065138,0.000186232,0.11490789,24.15446978
2018,Winter,-0.578799847,0.041382812,0.000120154,0.114476514,29.8659812
2018,Winter,-0.456004771,0.04383989,0.000237303,0.115279346,25.4054651
2018,Winter,-0.553441595,0.042389733,0.000240104,0.115343839,25.48749758
2018,Winter,-0.58195366,0.042423792,0.000137714,0.114760832,23.83659392
2018,Winter,-0.387469313,0.044437549,0.000323069,0.115354022,24.16814186
2018,Winter,-0.457981224,0.043839738,0.000263806,0.115393691,25.76777522
2018,Winter,-0.410488164,0.044618075,0.000285248,0.115331484,25.51484174
2018,Winter,-0.499645433,0.04298321,0.000233595,0.115277041,24.68084486
2021,Summer,-0.567567851,0.041014766,0.000130021,0.129663935,38.64687458
2021,Summer,-0.587090894,0.040908805,0.000125517,0.129654084,37.6248866
2021,Summer,-0.445069562,0.042270675,0.000165796,0.129788034,40.08927902
2021,Summer,-0.582516367,0.041616267,0.000144635,0.129795113,37.32751886
